account_name,predict_class,prochoice_strength,prolife_strength,follower of,prolife proportion,prochoice proportion,prolife cnt,prochoice cnt,total cnt,stance
ABabysRights,1,0.09614886533928924,0.9038511346607108,1,1.0,0.0,12,0,12,-0.8594066902162664
ABGYNservices,0,0.6819770001694787,0.3180229998305213,-1,0.0,1.0,0,9,9,0.1819770001694787
Abigailschumach,1,0.28746250177971244,0.7125374982202876,1,1.0,0.0,13,0,13,-0.6078863354295899
Alboteaparty,0,0.562099328202945,0.4379006717970551,1,1.0,0.0,7,0,7,-0.4192090830120083
amyrpatton,1,0.2307460187355015,0.7692539812644985,1,0.9705882352941176,0.029411764705882363,33,1,34,-0.6198286939081766
AngelaFairbanks,0,0.7075386477756236,0.2924613522243765,1,1.0,0.0,14,0,14,0.7075386477756236
anj_90,0,0.5573443577642879,0.4426556422357121,-1,0.0,1.0,0,13,13,0.2846170850370152
Anthony13JJ,0,0.6198847650363051,0.38011523496369504,-1,0.0,1.0,0,9,9,-0.3801152349636949
Apocalypte,0,0.8249843513798867,0.1750156486201133,-1,0.0,1.0,0,8,8,0.6314359642831124
AustCBR,1,0.08139944445449543,0.9186005555455046,1,1.0,0.0,10,0,10,-0.41860055554550457
bakerbarb54130,1,0.2849973862966564,0.7150026137033436,1,1.0,0.0,7,0,7,-0.7150026137033436
BeWellWriting,0,0.6606301664588141,0.3393698335411859,-1,0.0,1.0,0,7,7,0.16063016645881412
braincavanagh,0,0.7625441075234958,0.23745589247650425,-1,0.0,1.0,0,5,5,0.6292107741901625
BrianChiasson,0,0.5686239556526961,0.431376044347304,1,1.0,0.0,9,0,9,-0.42176065973191945
caraecal,0,0.8099474137461878,0.19005258625381213,1,0.0,1.0,0,21,21,0.7607670858773354
cbpolis,0,0.7616916455886404,0.2383083544113596,-1,0.0,1.0,0,15,15,0.6658012346297364
ch7pg3,0,0.6642515980192973,0.3357484019807026,-1,0.0,1.0,0,8,8,-0.002415068647369289
Chuck_Swanson,1,0.3274602852240965,0.6725397147759035,1,1.0,0.0,14,0,14,-0.3195985383053153
ClevelandRTL,1,0.40104453793174666,0.5989554620682533,1,1.0,0.0,16,0,16,-0.5898645529773443
ConnieBII,1,0.11391184792017095,0.8860881520798292,1,1.0,0.0,11,0,11,-0.837307664274951
DailyCatechist,1,0.17085188220164615,0.8291481177983538,1,1.0,0.0,13,0,13,-0.752225040875277
debc51,1,0.21174082933759766,0.7882591706624024,1,0.9642857142857144,0.03571428571428571,27,1,28,-0.7183291007323325
defenderofthe8,0,0.8237839270811895,0.1762160729188105,1,1.0,0.0,20,0,20,0.3237839270811895
Disciple4Lif,0,0.5321891796022307,0.4678108203977693,1,1.0,0.0,9,0,9,-0.4590771959436208
DrCNM,0,0.7501926972624888,0.24980730273751126,-1,0.0,1.0,0,8,8,0.7501926972624888
fedewa_agnes,1,0.15993339147097252,0.8400666085290275,1,0.9411764705882352,0.05882352941176471,16,1,17,-0.8030295714919904
ffskennz,0,0.8356075309521004,0.1643924690478996,-1,0.0,1.0,0,5,5,0.7380465553423443
frederick5661,1,0.1732680315916033,0.8267319684083967,1,1.0,0.0,15,0,15,-0.8014953753484598
FreeSafeLegalUK,0,0.8197084515864648,0.18029154841353529,-1,0.21428571428571427,0.7857142857142857,3,11,14,0.8197084515864648
FriscoTx4Trump,1,0.3247192041043549,0.675280795895645,1,1.0,0.0,14,0,14,-0.5576337370721156
GermanAlcocer1,0,0.6190620822684955,0.3809379177315045,-1,0.0,1.0,0,5,5,0.11906208226849545
grammaviolet,0,0.7614333592296809,0.2385666407703189,-1,0.0,1.0,0,10,10,0.4673157121708575
Great_Scott79,0,0.5104973247619055,0.4895026752380946,1,1.0,0.0,9,0,9,-0.43732876219461625
HattieLadd,0,0.8736442659003665,0.12635573409963347,-1,0.0,1.0,0,12,12,0.7683811080056296
HopeBeats,1,0.2662117459058017,0.7337882540941983,1,1.0,0.0,20,0,20,-0.7300146691885379
Hweininger,1,0.08364304605217776,0.9163569539478222,1,0.9642857142857144,0.03571428571428571,27,1,28,-0.8988130942986994
IWRising,0,0.728994918637377,0.27100508136262297,-1,0.0,1.0,0,8,8,0.6039949186373771
jackeekgonzalez,1,0.14827363162727614,0.8517263683727239,1,0.9375,0.0625,15,1,16,-0.7445835112298668
JessieQ_1,1,0.10113532101364253,0.8988646789863575,1,0.9696969696969696,0.030303030303030307,32,1,33,-0.7877535678752463
JPAndreas1,1,0.28043478316479353,0.7195652168352065,1,1.0,0.0,7,0,7,-0.6547504020203917
julieburtonwmc,0,0.8397188623248327,0.1602811376751673,-1,0.0,1.0,0,6,6,0.6536723506969258
justinbook18,0,0.5617163085704239,0.4382836914295761,1,1.0,0.0,9,0,9,-0.4105700655635253
JVanMaren,1,0.18573511161960526,0.8142648883803947,1,0.9,0.1,18,2,20,-0.6580148883803947
katherine_ae,0,0.7446728812516026,0.2553271187483975,-1,0.0,1.0,0,6,6,0.560057496636218
katie_jacob55,1,0.26770048318344586,0.7322995168165541,-1,0.8888888888888888,0.1111111111111111,8,1,9,-0.6846804691975065
Keithhinton8,1,0.16918994741987126,0.8308100525801287,1,1.0,0.0,12,0,12,-0.7887932458574397
kelseamcbelsea,0,0.7353043795590362,0.2646956204409639,1,0.0,1.0,0,21,21,0.6103043795590362
kgscanlon,0,0.5374626881992921,0.4625373118007078,1,0.9230769230769232,0.07692307692307693,12,1,13,-0.3241725319264941
littlemissevec,0,0.6468050339163546,0.3531949660836454,-1,0.0,1.0,0,7,7,-0.20504681793549728
LizYohnRN,0,0.7524640325633871,0.24753596743661285,-1,0.0,1.0,0,17,17,0.7524640325633871
Manuela2day,1,0.1042688574148819,0.8957311425851181,1,0.8333333333333334,0.16666666666666666,5,1,6,-0.8625746439113781
miskinlaw,0,0.6976956245738584,0.3023043754261416,-1,0.0,1.0,0,5,5,0.12626705314528694
miss_kGa,1,0.427200211846456,0.5727997881535439,1,0.875,0.125,7,1,8,-0.26029978815354404
molly_trivette,1,0.4211006511261959,0.5788993488738041,1,1.0,0.0,6,0,6,-0.5788993488738041
MonetteStephen,1,0.31083834325477744,0.6891616567452226,1,1.0,0.0,17,0,17,-0.6891616567452226
MrsDoma,1,0.15646877898857614,0.8435312210114239,1,0.9444444444444444,0.05555555555555555,17,1,18,-0.7645838525903712
OnlyGirlOfTen,1,0.20886114885996487,0.7911388511400351,1,0.9375,0.0625,15,1,16,-0.7265393679359008
PatKernanQuinn,0,0.5214849871952277,0.4785150128047722,-1,0.875,0.125,7,1,8,-0.27275369593234433
Prolifefriend,1,0.08205509214930529,0.9179449078506948,1,0.96875,0.03125,31,1,32,-0.9179449078506948
ReinyDey,1,0.09367903863698446,0.9063209613630157,1,0.9545454545454546,0.045454545454545456,21,1,22,-0.8126880025615174
riconservative,0,0.5465280024976548,0.4534719975023453,1,1.0,0.0,5,0,5,-0.3887661151494041
RooForLife,1,0.16198648473631772,0.8380135152636823,1,0.9696969696969696,0.030303030303030307,32,1,33,-0.7988197862603228
RoxieToxic_,0,0.6888473119911901,0.3111526880088099,-1,0.0,1.0,0,11,11,0.1888473119911901
RyanBizarri,1,0.19028707709228232,0.8097129229077177,1,1.0,0.0,11,0,11,-0.8097129229077177
scarr6612,0,0.5692594311711546,0.43074056882884537,-1,0.875,0.125,7,1,8,-0.43074056882884537
sexualhealthns,0,0.8083804471279625,0.19161955287203747,-1,0.0,1.0,0,9,9,0.5199189086664241
shaunkenyon1967,0,0.6190620822684955,0.3809379177315045,-1,0.0,1.0,0,6,6,0.11906208226849545
ShooguhLipz,0,0.7068336785929024,0.2931663214070977,-1,0.0,1.0,0,8,8,0.2693336785929024
SimonCookeMSI,0,0.6960777836443763,0.3039222163556237,-1,0.0,1.0,0,5,5,0.3324414200080127
soihadanabort,0,0.5741843192962,0.42581568070380005,-1,0.05,0.95,1,19,20,0.5741843192962
T2theGuajardo,1,0.2895150037359172,0.7104849962640828,1,1.0,0.0,5,0,5,-0.6294039151830018
The_Alma_D,0,0.6242634801142566,0.3757365198857434,-1,0.0,1.0,0,13,13,-0.03531098797084975
TomBurdolski,1,0.15770058645954432,0.8422994135404557,1,1.0,0.0,11,0,11,-0.8230686443096864
trianglescheme,0,0.6907768099051859,0.3092231900948141,-1,0.0,1.0,0,7,7,0.19077680990518586
VERASTEGUI100,1,0.10527305970081413,0.8947269402991859,1,0.9473684210526316,0.05263157894736842,18,1,19,-0.8583633039355495
VLabarum,1,0.4383623424716392,0.5616376575283608,1,0.9230769230769232,0.07692307692307693,12,1,13,-0.4999636487177881
WarrenDavidson,1,0.24393979980301214,0.7560602001969878,1,0.9,0.1,9,1,10,-0.7106056547424424
