User,stance
40daysforlife,-0.13414342791270506
AbolitionAHA,-0.24966235880975063
AbortionGroup,-0.20782801752495905
AmerLifeLeague,-0.4095233838519071
AntiAbrtionGang,-0.3899411700626353
AUL,-0.8741320801353067
Bound4LIFE,-0.8752360460911788
CA_ProLife,-0.7745113167526966
ExposeAbortion,-0.31178605483546373
FightAbortion,-0.4076154320647496
frfrankpavone,-0.8771193245250101
HumanCoalition,-0.33744734122915576
KeepLifeLegal,-0.8938768881524146
LdnAntiAbortion,-0.719782162257994
LGBTQProLife,-0.4111957938435796
LifeNewsHQ,-0.3999604768412073
LilaGraceRose,-0.3283631327898482
LiveAction,-0.8808534526377885
NeverAbortion,-0.5847926693358778
nrlc,-0.4211196734036696
operationrescue,-0.34121654151263925
PLAM_org,-0.893778866676433
ProLifeAction,-0.3500318590686683
prolifealliance,-0.34013976906324916
ProLifeBlogs,-0.39622165208061677
prolifecampaign,-0.28700052234223206
ProLifeDem,-0.5893265109950965
ProLifeLSU,-0.3036122898339646
ProLifeMastery,-0.504543094234309
prolifenews,-0.5370842140742782
ProLifePolitics,-0.9079275966742332
prolifepoppop,-0.793037644731143
ProLifeYouth,-0.842862432067096
recallabortion,-0.12545302376088452
RosaryMovement,-0.34230778723485755
SanDiegoProLife,-0.40771987222325823
SBAList,-0.9151078887930888
spucprolife,-0.8481301089568688
usccbprolife,-0.017466751619081955
WeAreProLife_,-0.3795935552481642
abortion_clinic,0.20105045624003082
Abortion_Rights,0.3486236059124941
AbortionCare,-0.19645034562744457
AbortionFunds,-0.17515669791443422
abortionpil,-0.23440806399527447
AbortionRights,0.29052688926091075
AbortionStories,0.24716268424847865
AbortionSupport,-0.16283923446924897
AcpAbortion,0.21697014666404513
alranztweets,0.254934124120198
BaltimoreFund,0.3764132517779004
BronxAbortion,0.23589854773529106
ChiAbortionFund,-0.20083979755517212
DCAbortionFund,-0.18995318830136054
Doctors4Choice,-0.1549795312175244
Feminists4Life,-0.36075044853244653
freesafelegal,0.32592061344586554
LPJLeague,-0.16465451288889632
MSFC,-0.16294553514928567
NatAbortionFed,0.35561485354551703
NCAbortionFund,-0.20661923437135332
NDWINFund,0.327675458920596
needabortionire,0.31793529846159685
NJAAF,0.374102775462953
nolaAbortionFnd,0.38131256298642624
NYAAF,-0.16718260874625235
PretermMAML,0.37201815992588605
prochoiceNSW,0.24249211821952898
RallyforChoice,0.33131254551066547
RBraceySherman,-0.22131618602497394
robinmarty,0.18141900753479878
roisiningle,0.3331975964682602
Safe_Abortion,0.32391815274040725
SeaChangeProg,-0.1687292123163724
ShoutYrAbortion,-0.2338949016163887
SisterSupporter,0.31870427808787594
StephHerold,-0.2367676393007191
TammiKromenaker,-0.1541305989474786
Voice4ChoiceUK,0.3473576158899083
WholeWomans,-0.187260007772458
